
01310361211502000031500000   00030000085000000002672404101000-000000100031500030024041300140856140925000000000000000000000000005
01310361211544000031500000   00010000026900000000852404101000-000000100031500010024041300140938140938000000000000000000000000005
01324182421775000049000000   00080000349500000017132404101000-000000100049000080024042500140906140941000000000000000000000000005
01310361211514000031500000   00020000056700000001792404101000-000000100031500020024041300140942140947000000000000000000000000005
01310120321411000043000000   00250000455100000019572404101000-000000100043000250024041300140919140948000000000000000000000000005
01310361211643000031500000   00020000054300000001712404101000-000000100031500020024041300140952140955000000000000000000000000005
01310361211676000031500000   00040000101800000003202404101000-000000100031500040024041300140959141011000000000000000000000000005
01310120321312000043000000   00200000385800000016602404101000-000000100043000200024041300140951141015000000000000000000000000005
01324182421824000049000000   00100000429400000021042404101000-000000100049000100024042500140943141024000000000000000000000000005
01310361211669000031500000   00030000079700000002512404101000-000000100031500030024041300141014141026000000000000000000000000005
