CS,321874,澳洲牛肩里肌炒肉片,,,盒,1,105.00,00000,150.00,150.00,2,0004,03203218740000,0000,0000,00,12,0,232,0,0,0,1,1,DD,400,0,0,,,,,3,59,,,,,,0,,,DDDD,,,,2,,,,,,,,,,,,,,,,,,,,,
CS,321876,澳洲牛肩里肌牛排,,,kg,0,770.00,00000,1000.00,1000.00,2,0004,03203218760000,0000,0000,00,12,0,232,0,0,0,1,1,DD,400,0,0,,,,,3,59,,,,,,0,,,DDDD,,,,2,,,,,,,,,,,,,,,,,,,,,
CS,322130,澳洲牛嫩腿心炒肉片,,,kg,0,640.00,00000,1000.00,1000.00,2,0004,03203221300000,0000,0000,00,12,0,232,0,0,0,1,1,DD,400,0,0,,,,,3,59,,,,,,0,,,DDDD,,,,2,,,,,,,,,,,,,,,,,,,,,
CS,322131,澳洲牛嫩腿心炒肉絲,,,kg,0,670.00,00000,1000.00,1000.00,2,0004,03203221310000,0000,0000,00,12,0,232,0,0,0,1,1,DD,400,0,0,,,,,3,59,,,,,,0,,,DDDD,,,,2,,,,,,,,,,,,,,,,,,,,,
CS,322781,美國無骨牛小排,,,kg,0,1210.00,00000,1000.00,1000.00,2,0004,03203227810000,0000,0000,00,12,0,232,0,0,0,1,1,DD,300,0,0,,,,,3,59,,,,,,0,,,DDDD,,,,2,,,,,,,,,,,,,,,,,,,,,
CS,322923,冷藏美國牛炒肉片,,,kg,0,900.00,00000,1000.00,1000.00,2,0004,03203229230000,0000,0000,00,12,0,232,0,0,0,1,1,DD,300,0,0,,,,,3,59,,,,,,0,,,DDDD,,,,2,,,,,,,,,,,,,,,,,,,,,
CS,322934,美國翼板霜降牛排,,,kg,0,1050.00,00000,1000.00,1000.00,2,0004,03203229340000,0000,0000,00,12,0,232,0,0,0,1,1,DD,300,0,0,,,,,3,59,,,,,,0,,,DDDD,,,,2,,,,,,,,,,,,,,,,,,,,,
CS,322941,美國牛胸腹雪花薄切片,,,kg,0,1050.00,00000,1000.00,1000.00,2,0004,03203229410000,0000,0000,00,12,0,232,0,0,0,1,1,DD,300,0,0,,,,,3,59,,,,,,0,,,DDDD,,,,2,,,,,,,,,,,,,,,,,,,,,
CS,324161,澳洲穀飼牛肋條切角,,,kg,0,600.00,00000,1000.00,1000.00,2,0004,03203241610000,0000,0000,00,12,0,232,0,0,0,1,1,DD,400,0,0,,,,,3,59,,,,,,0,,,DDDD,,,,2,,,,,,,,,,,,,,,,,,,,,
CS,327873,澳洲穀飼肩里肌炒肉絲,,,kg,0,500.00,00000,1000.00,1000.00,3,0004,03203278730000,0000,0000,00,12,0,232,0,0,0,1,1,DD,400,0,0,,,,,4,59,,,,,,0,,,DDDD,,,,2,,,,,,,,,,,,,,,,,,,,,
