16:52:11 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : args[0] = 172.20.22.100 ， args[1] = 2ad4a3e4-979b-4937-9ab4-0c049e28891a ， args[2] = 3 ， args[3] = 243180102，args[4] = 53790003-f14a-44e9-a1df-b542f664ad45
16:52:12^3^違反 PRIMARY KEY 條件約束 'PK_UDI_ORDER_1'。無法在物件 'ftp.UDI_ORDER' 中插入重複的索引鍵。重複的索引鍵值是 (2ad4a3e4-979b-4937-9ab4-0c049e28891a)。
違反 PRIMARY KEY 條件約束 'PK_UDI_PUT_1'。無法在物件 'ftp.UDI_PUT' 中插入重複的索引鍵。重複的索引鍵值是 (2ad4a3e4-979b-4937-9ab4-0c049e28891a, 1)。
陳述式已經結束。
陳述式已經結束。
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 32 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 33 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 34 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 35 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 36 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 37 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 38 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 39 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 40 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 41 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 42 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 43 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 44 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 45 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 46 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 47 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 48 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 49 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 50 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 51 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 52 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 53 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 54 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 55 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 56 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 57 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 58 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 59 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 60 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 61 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 62 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 63 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 64 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 65 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 66 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 67 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 68 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 69 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 70 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 71 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 72 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 73 筆資料
