11:47:42 步驟 : 4 GUID : 01B62094-27CB-4C7F-80DD-F6CC9C4D0BEC 訊息 : args[0] = 172.20.8.233 ， args[1] = 01B62094-27CB-4C7F-80DD-F6CC9C4D0BEC ， args[2] = 4 ， args[3] = 243460101，args[4] = 243280101，args[4] = a0a56f54-7acc-42cb-b47e-2a43f8aac0ea
11:47:44^4^違反 PRIMARY KEY 條件約束 'PK_UDI_ORDER_1'。無法在物件 'ftp.UDI_ORDER' 中插入重複的索引鍵。重複的索引鍵值是 (01b62094-27cb-4c7f-80dd-f6cc9c4d0bec)。
違反 PRIMARY KEY 條件約束 'PK_UDI_PUT_1'。無法在物件 'ftp.UDI_PUT' 中插入重複的索引鍵。重複的索引鍵值是 (01b62094-27cb-4c7f-80dd-f6cc9c4d0bec, 1)。
陳述式已經結束。
陳述式已經結束。
11:47:44 步驟 : 4 GUID : 01B62094-27CB-4C7F-80DD-F6CC9C4D0BEC 訊息 : Cannot find table 0.
11:49:38 步驟 : 4 GUID : 01B62094-27CB-4C7F-80DD-F6CC9C4D0BEC 訊息 : args[0] = 172.20.8.233 ， args[1] = 01B62094-27CB-4C7F-80DD-F6CC9C4D0BEC ， args[2] = 4 ， args[3] = 243460101，args[4] = 243280101，args[4] = a0a56f54-7acc-42cb-b47e-2a43f8aac0ea
11:49:39^4^違反 PRIMARY KEY 條件約束 'PK_UDI_ORDER_1'。無法在物件 'ftp.UDI_ORDER' 中插入重複的索引鍵。重複的索引鍵值是 (01b62094-27cb-4c7f-80dd-f6cc9c4d0bec)。
違反 PRIMARY KEY 條件約束 'PK_UDI_PUT_1'。無法在物件 'ftp.UDI_PUT' 中插入重複的索引鍵。重複的索引鍵值是 (01b62094-27cb-4c7f-80dd-f6cc9c4d0bec, 1)。
陳述式已經結束。
陳述式已經結束。
11:50:45 步驟 : 4 GUID : 101EF554-7075-4BAA-A8CA-6A729514FA89 訊息 :  等待產生 ISHIDA_RFD100.csv，24 ...
11:50:46 步驟 : 4 GUID : 101EF554-7075-4BAA-A8CA-6A729514FA89 訊息 :  等待產生 ISHIDA_RFD100.csv，25 ...
11:50:47 步驟 : 4 GUID : 101EF554-7075-4BAA-A8CA-6A729514FA89 訊息 :  等待產生 ISHIDA_RFD100.csv，26 ...
11:50:48 步驟 : 4 GUID : 101EF554-7075-4BAA-A8CA-6A729514FA89 訊息 :  等待產生 ISHIDA_RFD100.csv，27 ...
11:50:49 步驟 : 4 GUID : 101EF554-7075-4BAA-A8CA-6A729514FA89 訊息 :  等待產生 ISHIDA_RFD100.csv，28 ...
11:50:50 步驟 : 4 GUID : 101EF554-7075-4BAA-A8CA-6A729514FA89 訊息 :  等待產生 ISHIDA_RFD100.csv，29 ...
11:50:51 步驟 : 4 GUID : 101EF554-7075-4BAA-A8CA-6A729514FA89 訊息 :  等待產生 ISHIDA_RFD100.csv，30 ...
11:50:52 步驟 : 4 GUID : 101EF554-7075-4BAA-A8CA-6A729514FA89 訊息 :  等待產生 ISHIDA_RFD100.csv，31 ...
11:50:54 步驟 : 4 GUID : 101EF554-7075-4BAA-A8CA-6A729514FA89 訊息 :  等待產生 ISHIDA_RFD100.csv，32 ...
11:50:55 步驟 : 4 GUID : 101EF554-7075-4BAA-A8CA-6A729514FA89 訊息 :  等待產生 ISHIDA_RFD100.csv，33 ...
11:50:56 步驟 : 4 GUID : 101EF554-7075-4BAA-A8CA-6A729514FA89 訊息 :  等待產生 ISHIDA_RFD100.csv，34 ...
11:50:57 步驟 : 4 GUID : 101EF554-7075-4BAA-A8CA-6A729514FA89 訊息 :  等待產生 ISHIDA_RFD100.csv，35 ...
11:50:58 步驟 : 4 GUID : 101EF554-7075-4BAA-A8CA-6A729514FA89 訊息 :  等待產生 ISHIDA_RFD100.csv，36 ...
11:50:59 步驟 : 4 GUID : 101EF554-7075-4BAA-A8CA-6A729514FA89 訊息 :  等待產生 ISHIDA_RFD100.csv，37 ...
11:50:59 步驟 : 4 GUID : 101EF554-7075-4BAA-A8CA-6A729514FA89 訊息 : 產生 ISHIDA_RFD100.csv
